num_jour,date,discipline,num_session,debut_epreuve,fin_epreuve,lieu_epreuve,nom_epreuve,NOM,Geo Point,SITES OLYMPIQUES PARALYMPIQUES,SPORTS,latitude,longitude,capacite
1,Samedi 27 Juillet,BADMINTON,BDM01,14:00,17:30,Arena Porte de La Chapelle,"Double mixte, poules préliminaires Simple femmes, poules préliminaires Double hommes, poules préliminaires Double femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM01,19:30,23:00,Arena Porte de La Chapelle,"Simple femmes, poules préliminaires Double hommes, poules préliminaires Double femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM04,08:30,12:00,Arena Porte de La Chapelle,"Double mixte, poules préliminaires Simple femmes, poules préliminaires Double hommes, poules préliminaires Double femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM04,14:00,17:30,Arena Porte de La Chapelle,"Double mixte, poules préliminaires Double femmes, poules préliminaires Double hommes, poules préliminaires Simple femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM04,19:30,23:00,Arena Porte de La Chapelle,"Double mixte, poules préliminaires Double hommes, poules préliminaires Simple femmes, poules préliminaires Double femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM07,08:30,12:00,Arena Porte de La Chapelle,"Double mixte, poules préliminaires Double hommes, poules préliminaires Simple femmes, poules préliminaires Double femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM07,14:00,17:30,Arena Porte de La Chapelle,"Double mixte, poules préliminaires Double femmes, poules préliminaires Double hommes, poules préliminaires Simple femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM07,19:30,23:00,Arena Porte de La Chapelle,"Double mixte, poules préliminaires Simple femmes, poules préliminaires Double hommes, poules préliminaires Double femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM10,08:30,12:00,Arena Porte de La Chapelle,"Simple femmes, poules préliminaires Double hommes, poules préliminaires Double femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM10,14:00,17:30,Arena Porte de La Chapelle,"Double hommes, poules préliminaires Double femmes, poules préliminaires Simple femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM10,19:30,23:00,Arena Porte de La Chapelle,"Simple femmes, poules préliminaires Double hommes, poules préliminaires Double femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM13,08:30,12:00,Arena Porte de La Chapelle,"Simple femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM13,14:00,17:30,Arena Porte de La Chapelle,"Simple femmes, poules préliminaires Simple hommes, poules préliminaires",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM13,19:30,23:00,Arena Porte de La Chapelle,"Simple femmes, poules préliminaires Simple hommes, poules préliminaires Double mixte, quarts de finale",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM16,08:30,11:00,Arena Porte de La Chapelle,"Double femmes, quarts de finale Simple hommes, 8e de finale",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM16,13:00,16:30,Arena Porte de La Chapelle,"Double hommes, quarts de finale Simple hommes, 8e de finale",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM16,18:30,22:00,Arena Porte de La Chapelle,"Simple femmes, 8e de finale Double mixte, demi-finale",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM19,08:30,13:00,Arena Porte de La Chapelle,"Double femmes, demi-finale Double hommes, demi-finale",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM19,15:00,22:30,Arena Porte de La Chapelle,"Double mixte, match bronze Simple hommes, quarts de finale",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
